팀,이름,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
NC,김기환,0.020000000000000018,135,280,253,45,54,12,3,3,81,19,29,6,21,2,0,83,1,3,0.428,0.56,0.633,1.193,0.5569999999999999,126.2,0.020000000000000018,-1.56
NC,김성욱,-0.14,104,225,195,32,43,4,1,8,73,26,12,5,17,4,0,40,0,7,0.221,0.294,0.374,0.668,0.295,65.5,-0.14,-0.13
NC,김응민,-0.47,34,75,67,7,9,1,0,1,13,5,0,0,3,2,0,12,3,2,0.134,0.192,0.194,0.386,0.182,1.2,-0.47,-0.64
NC,김주원,2.54,165,515,439,55,102,17,3,15,170,63,16,5,47,16,1,146,9,11,0.46799999999999997,0.65,0.774,1.424,0.651,188.5,2.54,-0.99
NC,김준완,-0.1,45,75,65,8,14,1,0,1,18,5,0,0,10,0,0,9,3,0,0.215,0.32,0.277,0.597,0.292,65.2,-0.1,-0.29
NC,김찬형,0.26,56,72,64,10,19,6,0,0,25,7,3,1,4,1,0,11,0,2,0.297,0.343,0.391,0.734,0.329,89.7,0.26,0.17
NC,김태군,1.1600000000000001,182,407,345,39,84,13,0,8,121,42,0,1,27,15,0,44,7,16,0.512,0.6579999999999999,0.7130000000000001,1.37,0.619,155.39999999999998,1.1600000000000001,-0.10000000000000003
NC,김태진,-0.47,37,88,83,10,18,1,1,1,24,6,2,2,4,0,0,22,0,1,0.217,0.253,0.289,0.542,0.249,36.7,-0.47,0.03
NC,김형준,0.63,44,82,72,12,22,1,0,3,32,11,0,0,10,0,0,21,1,0,0.306,0.39,0.444,0.835,0.384,124.9,0.63,-0.17
NC,나성범,9.09,274,1207,1095,211,330,66,3,67,603,213,4,3,87,20,4,303,11,0,0.605,0.726,1.105,1.831,0.81,277.6,9.09,7.43
NC,노진혁,9.52,354,1319,1153,161,323,68,3,43,526,215,3,5,136,12,6,301,22,10,0.8420000000000001,1.083,1.362,2.444,1.104,359.9,9.52,3.29
NC,도태훈,-0.43000000000000005,167,239,205,28,42,8,0,3,59,22,1,0,19,5,0,37,8,7,0.398,0.572,0.5509999999999999,1.123,0.534,111.0,-0.43000000000000005,-2.37
NC,마티니,3.96,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,0.3,0.368,0.465,0.833,0.376,134.9,3.96,0.53
NC,모창민,0.34,62,149,136,10,41,10,2,2,61,13,0,0,8,1,1,22,5,2,0.301,0.34,0.449,0.789,0.347,100.2,0.34,0.45
NC,박건우,4.47,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,0.336,0.408,0.458,0.867,0.4,151.9,4.47,1.02
NC,박대온,-1.13,101,228,212,12,41,5,0,1,49,15,0,0,4,2,0,58,4,7,0.393,0.434,0.45999999999999996,0.894,0.41000000000000003,28.8,-1.13,-2.29
NC,박민우,7.43,280,1196,1037,173,312,54,9,13,423,119,46,13,100,32,7,126,23,12,0.873,1.113,1.173,2.286,1.0550000000000002,328.4,7.43,1.58
NC,박석민,5.18,198,711,574,88,160,25,0,24,257,106,0,1,111,13,3,113,22,6,0.712,1.095,1.137,2.233,1.039,312.3,5.18,2.33
NC,박준영,0.78,218,606,527,68,109,19,3,12,170,53,12,5,56,14,0,163,17,6,0.577,0.844,0.898,1.742,0.827,176.5,0.78,-3.45
NC,서호철,-0.17,89,214,195,26,40,8,0,2,54,14,3,1,12,4,0,41,6,3,0.205,0.265,0.277,0.542,0.255,52.0,-0.17,-1.68
NC,손아섭,2.07,138,617,548,72,152,29,4,4,201,48,6,3,59,3,2,76,9,1,0.277,0.347,0.367,0.714,0.333,105.7,2.07,1.43
NC,알테어,9.34,279,1111,974,173,268,39,9,63,514,192,42,8,103,23,5,305,16,0,0.55,0.71,1.0550000000000002,1.7650000000000001,0.78,256.7,9.34,4.89
NC,양의지,16.35,401,1608,1368,228,428,79,3,83,762,329,10,4,175,38,18,155,39,1,0.9359999999999999,1.194,1.664,2.859,1.2610000000000001,460.0,16.35,10.08
NC,오영수,0.09,83,259,231,25,55,10,0,6,83,31,0,5,22,3,0,58,4,0,0.238,0.309,0.359,0.668,0.311,89.8,0.09,0.33
NC,윤형준,-0.23,86,150,141,15,36,1,0,6,55,15,1,1,4,1,0,38,3,3,0.506,0.553,0.769,1.322,0.589,145.8,-0.23,-1.29
NC,이명기,3.19,286,1113,968,148,279,43,5,4,344,82,22,14,117,8,0,161,16,14,0.856,1.113,1.069,2.183,1.029,312.5,3.19,0.18999999999999995
NC,이상호,-0.69,82,65,61,18,8,1,0,0,9,4,6,4,3,0,0,5,2,1,0.131,0.172,0.148,0.319,0.155,-24.0,-0.69,-0.64
NC,이원재,-0.44999999999999996,104,215,197,18,49,7,2,4,72,24,2,0,12,1,1,37,4,3,0.489,0.563,0.679,1.241,0.562,117.3,-0.44999999999999996,-1.01
NC,전민수,0.09,91,150,138,15,36,5,0,3,50,18,0,0,12,0,1,37,2,0,0.53,0.623,0.7030000000000001,1.326,0.62,169.2,0.09,0.69
NC,정진기,-0.08,125,258,239,31,53,10,0,7,84,25,7,3,16,1,0,56,3,2,0.42000000000000004,0.545,0.6539999999999999,1.199,0.5609999999999999,127.5,-0.08,-0.76
NC,정현,0.12,56,120,96,9,22,3,1,0,27,7,0,1,14,4,0,20,6,6,0.229,0.351,0.281,0.632,0.302,74.6,0.12,-0.33
NC,지석훈,-0.08,115,185,155,28,30,9,0,1,42,14,1,0,21,4,0,45,4,2,0.354,0.602,0.474,1.077,0.54,103.4,-0.08,-0.84
NC,천재환,-0.23,29,36,35,4,5,1,0,1,9,1,1,0,0,1,0,11,1,0,0.143,0.167,0.257,0.424,0.194,9.2,-0.23,-0.8
NC,최승민,0.020000000000000018,92,68,65,27,18,1,0,0,19,4,10,6,1,0,0,14,1,2,0.55,0.5740000000000001,0.5820000000000001,1.155,0.535,115.89999999999999,0.020000000000000018,-0.6
